"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","CRS_DEP_TIME","CRS_ARR_TIME","ARR_DELAY","CANCELLED","DIVERTED","CRS_ELAPSED_TIME","DISTANCE",
2017,2,25,6,"B6",13204,11618,"1000","1236",-24.00,0.00,0.00,156.00,937.00,
2017,2,26,7,"B6",13204,11618,"0739","1012",-23.00,0.00,0.00,153.00,937.00,
2017,2,27,1,"B6",13204,11618,"1028","1306",-4.00,0.00,0.00,158.00,937.00,
2017,2,28,2,"B6",13204,11618,"0739","1012",7.00,0.00,0.00,153.00,937.00,
2017,2,1,3,"B6",10785,12478,"1907","2037",-8.00,0.00,0.00,90.00,266.00,
2017,2,2,4,"B6",10785,12478,"1907","2037",-13.00,0.00,0.00,90.00,266.00,
2017,2,3,5,"B6",10785,12478,"1907","2037",-21.00,0.00,0.00,90.00,266.00,
2017,2,4,6,"B6",10785,12478,"1907","2037",-24.00,0.00,0.00,90.00,266.00,
2017,2,5,7,"B6",10785,12478,"1907","2037",-24.00,0.00,0.00,90.00,266.00,
2017,2,6,1,"B6",10785,12478,"1907","2037",110.00,0.00,0.00,90.00,266.00,
2017,2,7,2,"B6",10785,12478,"1907","2037",1.00,0.00,0.00,90.00,266.00,
2017,2,8,3,"B6",10785,12478,"1907","2037",53.00,0.00,0.00,90.00,266.00,
2017,2,9,4,"B6",10785,12478,"1907","2037",,1.00,0.00,90.00,266.00,
2017,2,10,5,"B6",10785,12478,"1907","2037",-8.00,0.00,0.00,90.00,266.00,
2017,2,11,6,"B6",10785,12478,"1907","2037",22.00,0.00,0.00,90.00,266.00,
2017,2,12,7,"B6",10785,12478,"1907","2037",61.00,0.00,0.00,90.00,266.00,
2017,2,13,1,"B6",10785,12478,"1907","2037",24.00,0.00,0.00,90.00,266.00,
2017,2,14,2,"B6",10785,12478,"1907","2037",-25.00,0.00,0.00,90.00,266.00,
2017,2,15,3,"B6",10785,12478,"1907","2037",97.00,0.00,0.00,90.00,266.00,
2017,2,16,4,"B6",11278,14027,"1730","2007",226.00,0.00,0.00,157.00,857.00,
2017,2,17,5,"B6",11278,14027,"1730","2007",-10.00,0.00,0.00,157.00,857.00,
2017,2,18,6,"B6",11278,14027,"1730","2007",-12.00,0.00,0.00,157.00,857.00,
2017,2,19,7,"B6",11278,14027,"1730","2007",-29.00,0.00,0.00,157.00,857.00,
2017,2,20,1,"B6",11278,14027,"1730","2007",-13.00,0.00,0.00,157.00,857.00,
2017,2,21,2,"B6",11278,14027,"1730","2007",-12.00,0.00,0.00,157.00,857.00,
2017,2,22,3,"B6",11278,14027,"1730","2007",1.00,0.00,0.00,157.00,857.00,
2017,2,23,4,"B6",11278,14027,"1730","2007",6.00,0.00,0.00,157.00,857.00,
2017,2,24,5,"B6",11278,14027,"1730","2007",42.00,0.00,0.00,157.00,857.00,
2017,2,25,6,"B6",11278,14027,"1730","2007",37.00,0.00,0.00,157.00,857.00,
2017,2,26,7,"B6",11278,14027,"1730","2007",1.00,0.00,0.00,157.00,857.00,
2017,2,27,1,"B6",11278,14027,"1730","2007",-10.00,0.00,0.00,157.00,857.00,
2017,2,1,3,"B6",12478,10785,"1706","1827",-13.00,0.00,0.00,81.00,266.00,
2017,2,2,4,"B6",12478,10785,"1706","1827",-18.00,0.00,0.00,81.00,266.00,
2017,2,3,5,"B6",12478,10785,"1706","1827",-13.00,0.00,0.00,81.00,266.00,
2017,2,4,6,"B6",12478,10785,"1706","1827",-28.00,0.00,0.00,81.00,266.00,
2017,2,5,7,"B6",12478,10785,"1706","1827",-17.00,0.00,0.00,81.00,266.00,
2017,2,6,1,"B6",12478,10785,"1706","1827",121.00,0.00,0.00,81.00,266.00,
2017,2,7,2,"B6",12478,10785,"1706","1827",-14.00,0.00,0.00,81.00,266.00,
2017,2,8,3,"B6",12478,10785,"1706","1827",90.00,0.00,0.00,81.00,266.00,
