,ARR_DELAY,CANCELLED,CRS_ARR_TIME,CRS_DEP_TIME,CRS_ELAPSED_TIME,DAY_OF_MONTH,DAY_OF_WEEK,DEST,DEST_AIRPORT_ID,DEST_HAS_EXTREME,DEST_HAS_PRECIPITATION,DEST_TEMP,DEST_WIND_SPEED,DISTANCE,DIVERTED,MONTH,ORIGIN,ORIGIN_AIRPORT_ID,ORIGIN_HAS_EXTREME,ORIGIN_HAS_PRECIPITATION,ORIGIN_TEMP,ORIGIN_WIND_SPEED,UNIQUE_CARRIER,YEAR
0,-13.0,0.0,1119,943,96.0,1,1,KDFW,11298,0.0,0.0,-7.0,13.0,383.0,0.0,1,KBTR,10781,0.0,0.0,-4.4,10.0,EV,2018
1,-8.0,0.0,1119,943,96.0,2,2,KDFW,11298,0.0,0.0,-4.4,6.0,383.0,0.0,1,KBTR,10781,0.0,0.0,-6.1,8.0,EV,2018
2,-11.0,0.0,1119,943,96.0,3,3,KDFW,11298,0.0,0.0,-6.0,4.0,383.0,0.0,1,KBTR,10781,0.0,0.0,-0.6,6.0,EV,2018
3,-6.0,0.0,1119,943,96.0,4,4,KDFW,11298,0.0,0.0,-1.0,4.0,383.0,0.0,1,KBTR,10781,0.0,0.0,-4.4,0.0,EV,2018
4,-29.0,0.0,1119,943,96.0,5,5,KDFW,11298,0.0,0.0,0.0,5.0,383.0,0.0,1,KBTR,10781,0.0,0.0,-2.2,3.0,EV,2018
5,-22.0,0.0,1119,943,96.0,6,6,KDFW,11298,0.0,0.0,5.0,6.0,383.0,0.0,1,KBTR,10781,0.0,0.0,-2.2,0.0,EV,2018
6,-20.0,0.0,1119,943,96.0,7,7,KDFW,11298,0.0,0.0,12.0,14.0,383.0,0.0,1,KBTR,10781,0.0,0.0,5.6,9.0,EV,2018
7,61.0,0.0,1115,943,92.0,8,1,KDFW,11298,0.0,0.0,7.0,9.0,383.0,0.0,1,KBTR,10781,1.0,1.0,13.0,10.0,EV,2018
8,-18.0,0.0,1115,943,92.0,9,2,KDFW,11298,0.0,0.0,4.0,3.0,383.0,0.0,1,KBTR,10781,1.0,0.0,10.0,6.0,EV,2018
9,-4.0,0.0,1115,943,92.0,10,3,KDFW,11298,1.0,0.0,8.0,11.0,383.0,0.0,1,KBTR,10781,1.0,0.0,13.9,0.0,EV,2018
10,-21.0,0.0,1115,943,92.0,11,4,KDFW,11298,0.0,0.0,13.0,11.0,383.0,0.0,1,KBTR,10781,1.0,0.0,17.2,5.0,EV,2018
11,-13.0,0.0,1115,943,92.0,12,5,KDFW,11298,0.0,0.0,-3.0,15.0,383.0,0.0,1,KBTR,10781,0.0,0.0,7.0,17.0,EV,2018
12,-20.0,0.0,1115,943,92.0,13,6,KDFW,11298,0.0,0.0,-2.0,9.0,383.0,0.0,1,KBTR,10781,0.0,0.0,-1.1,6.0,EV,2018
13,-5.0,0.0,1115,943,92.0,15,1,KDFW,11298,0.0,0.0,5.0,6.0,383.0,0.0,1,KBTR,10781,0.0,0.0,-1.7,0.0,EV,2018
